Ship,Duration,Level,Target Artifact,Ancient puzzle cube,Puzzle cube,Puzzle cube (Epic),Mystical puzzle cube,Mystical puzzle cube (Rare),Unsolvable puzzle cube,Unsolvable puzzle cube (Rare),Unsolvable puzzle cube (Epic),Unsolvable puzzle cube (Legendary),Basic lunar totem,Lunar totem,Lunar totem (Rare),Powerful lunar totem,Powerful lunar totem (Rare),Eggceptional lunar totem,Eggceptional lunar totem (Rare),Eggceptional lunar totem (Epic),Eggceptional lunar totem (Legendary),Simple Demeters necklace,Jeweled Demeters necklace,Jeweled Demeters necklace (Rare),Pristine Demeters necklace,Pristine Demeters necklace (Rare),Pristine Demeters necklace (Epic),Beggspoke Demeters necklace,Beggspoke Demeters necklace (Rare),Beggspoke Demeters necklace (Epic),Beggspoke Demeters necklace (Legendary),Tiny vial of Martian dust,Vial of Martian dust,Vial of Martian dust (Rare),Hermetic vial of Martian dust,Hermetic vial of Martian dust (Epic),Prime vial of Martian dust,Prime vial of Martian dust (Rare),Prime vial of Martian dust (Legendary),Plain Aurelian brooch,Aurelian brooch,Jeweled Aurelian brooch,Jeweled Aurelian brooch (Rare),Jeweled Aurelian brooch (Epic),Eggceptional Aurelian brooch,Eggceptional Aurelian brooch (Rare),Eggceptional Aurelian brooch (Epic),Eggceptional Aurelian brooch (Legendary),Crude tungsten ankh,Tungsten ankh,Tungsten ankh (Rare),Polished tungsten ankh,Polished tungsten ankh (Rare),Polished tungsten ankh (Legendary),Brilliant tungsten ankh,Brilliant tungsten ankh (Rare),Brilliant tungsten ankh (Legendary),Plain gusset,Ornate gusset,Ornate gusset (Epic),Distegguished gusset,Distegguished gusset (Rare),Jeweled gusset,Jeweled gusset (Epic),Jeweled gusset (Legendary),Weak neodymium medallion,Neodymium medallion,Neodymium medallion (Rare),Precise neodymium medallion,Precise neodymium medallion (Epic),Eggceptional neodymium medallion,Eggceptional neodymium medallion (Rare),Eggceptional neodymium medallion (Epic),Eggceptional neodymium medallion (Legendary),Misaligned Mercury's lens,Mercury's lens,Mercury's lens (Rare),Precise Mercury's lens,Precise Mercury's lens (Rare),Meggnificent Mercury's lens,Meggnificent Mercury's lens (Rare),Meggnificent Mercury's lens (Epic),Meggnificent Mercury's lens (Legendary),Dull beak of Midas,Beak of Midas,Jeweled beak of Midas,Jeweled beak of Midas (Rare),Glistening beak of Midas,Glistening beak of Midas (Rare),Glistening beak of Midas (Legendary),Simple carved rainstick,Carved rainstick,Ornate carved rainstick,Meggnificent carved rainstick,Meggnificent carved rainstick (Epic),Meggnificent carved rainstick (Legendary),Miscalibrated interstellar compass,Interstellar compass,Precise interstellar compass,Precise interstellar compass (Rare),Clairvoyant interstellar compass,Clairvoyant interstellar compass (Rare),Clairvoyant interstellar compass (Epic),Clairvoyant interstellar compass (Legendary),Plain chalice,Polished chalice,Polished chalice (Epic),Jeweled chalice,Jeweled chalice (Rare),Jeweled chalice (Epic),Eggceptional chalice,Eggceptional chalice (Epic),Eggceptional chalice (Legendary),Tattered phoenix feather,Phoenix feather,Brilliant phoenix feather,Brilliant phoenix feather (Rare),Blazing phoenix feather,Blazing phoenix feather (Rare),Blazing phoenix feather (Legendary),Misaligned quantum metronome,Adequate quantum metronome,Adequate quantum metronome (Rare),Perfect quantum metronome,Perfect quantum metronome (Rare),Perfect quantum metronome (Epic),Reggference quantum metronome,Reggference quantum metronome (Rare),Reggference quantum metronome (Epic),Reggference quantum metronome (Legendary),Dilithium monocle,Precise dilithium monocle,Eggsacting dilithium monocle,Flawless dilithium monocle,Flawless dilithium monocle (Epic),Flawless dilithium monocle (Legendary),Inconsistent titanium actuator,Titanium actuator,Precise titanium actuator,Precise titanium actuator (Rare),Reggference titanium actuator,Reggference titanium actuator (Epic),Reggference titanium actuator (Legendary),Ship in a bottle,Detailed ship in a bottle,Complex ship in a bottle,Complex ship in a bottle (Rare),Eggquisite ship in a bottle,Eggquisite ship in a bottle (Rare),Eggquisite ship in a bottle (Epic),Eggquisite ship in a bottle (Legendary),Weak tachyon deflector,Tachyon deflector,Robust tachyon deflector,Robust tachyon deflector (Rare),Book of Basan,Collectors book of Basan,Fortified book of Basan,Fortified book of Basan (Epic),Dim light of Eggendil,Shimmering light of Eggendil,Shimmering light of Eggendil (Rare),Glowing light of Eggendil,Glowing light of Eggendil (Rare),Brilliant light of Eggendil,Brilliant light of Eggendil (Epic),Brilliant light of Eggendil (Legendary),Lunar stone,Eggsquisite lunar stone,Meggnificent lunar stone,Shell stone,Eggsquisite shell stone,Flawless shell stone,Tachyon stone,Eggsquisite tachyon stone,Brilliant tachyon stone,Terra stone,Rich terra stone,Eggceptional terra stone,Soul stone,Eggsquisite soul stone,Radiant soul stone,Dilithium stone,Eggsquisite dilithium stone,Quantum stone,Phased quantum stone,Meggnificent quantum stone,Life stone,Good life stone,Eggceptional life stone,Clarity stone,Eggsquisite clarity stone,Prophecy stone,Eggsquisite prophecy stone,Tiny gold meteorite,Enriched gold meteorite,Solid gold meteorite,Tau Ceti geode piece,Glimmering Tau Ceti geode,Radiant Tau Ceti geode,Solar titanium ore,Solar titanium bar,Solar titanium geogon,Clarity Stone Fragment,Dilithium Stone Fragment,Life Stone Fragment,Lunar Stone Fragment,Prophecy Stone Fragment,Quantum Stone Fragment,Shell Stone Fragment,Soul Stone Fragment,Tachyon Stone Fragment,Terra Stone Fragment
Chickfiant,Epic,3,Dilithium stone,0,0,0,53,11,0,0,0,0,0,12,0,59,6,0,0,0,0,0,0,0,70,7,2,4,0,0,0,0,40,11,16,0,0,0,0,0,25,53,14,0,0,0,0,0,0,62,3,15,3,0,0,0,0,0,54,1,10,1,0,0,0,0,54,8,35,0,0,0,0,0,0,61,10,11,2,0,0,0,0,31,64,19,2,0,0,0,55,53,5,0,0,0,68,85,5,1,0,0,0,0,82,70,0,13,1,1,0,0,0,98,48,0,0,0,0,0,127,36,5,0,0,0,0,0,0,0,115,20,0,0,0,0,118,19,0,0,0,0,0,132,3,0,0,0,0,0,0,21,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,5,25,0,0,23,0,0,24,0,25,10,0,25,1,0,86,0,35,15,0,34,0,0,3,0,2,0,0,216,0,0,43,0,0,151,0,147,58,76,0,156,39,0,44,0,60
Chickfiant,Epic,3,Gold meteorite,0,0,0,245,43,0,0,0,0,0,62,0,334,41,0,0,0,0,0,0,0,403,29,9,15,1,0,0,0,234,39,79,4,0,0,0,0,110,278,48,12,0,0,0,0,0,276,17,90,10,0,0,0,0,0,284,5,71,7,0,0,0,0,266,51,221,3,0,0,0,0,0,386,57,59,14,0,0,0,0,108,353,92,21,0,0,0,327,352,16,0,0,0,302,363,23,2,0,0,0,0,371,331,12,63,6,1,0,0,0,501,215,0,0,0,0,0,603,168,18,0,0,0,0,0,0,0,690,114,0,0,0,0,679,88,0,0,0,0,0,707,26,0,0,0,0,0,0,127,3,0,0,68,0,0,0,60,0,0,0,0,0,0,0,34,86,0,0,110,0,0,111,0,116,38,0,137,0,0,105,0,161,59,0,177,1,0,27,0,5,0,2321,6225,0,0,170,0,0,803,0,824,311,367,0,872,243,0,269,0,365
Chickfiant,Epic,3,Gusset,0,0,0,34,4,0,0,0,0,0,7,1,48,0,0,0,0,0,0,0,0,54,7,4,0,0,0,0,0,28,6,14,1,0,0,0,0,13,49,7,0,0,0,0,0,0,44,1,14,5,0,0,0,0,91,256,2,36,5,0,0,0,0,45,1,40,0,0,0,0,0,0,41,7,5,1,0,0,0,0,13,58,12,3,0,0,0,40,54,4,0,0,0,43,54,5,0,0,0,0,0,65,51,2,7,1,0,0,0,0,92,34,1,0,0,0,0,74,21,0,0,0,0,0,0,0,0,76,14,0,0,0,0,117,13,0,0,0,0,0,82,5,0,0,0,0,0,0,16,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,2,12,0,0,23,0,0,19,0,18,5,0,21,0,0,8,0,20,9,0,19,0,0,2,0,0,0,0,184,0,0,18,0,0,125,0,115,48,59,0,112,27,0,41,0,60
Chickfiant,Epic,3,Interstellar compass,0,0,0,18,8,0,0,0,0,0,6,0,29,6,0,0,0,0,0,0,0,34,4,1,2,0,1,0,0,18,4,13,1,0,0,0,0,10,36,6,2,0,0,0,0,0,27,2,10,3,0,0,0,0,0,30,1,6,1,0,0,0,0,25,8,28,0,0,0,0,0,0,28,8,4,1,0,0,0,0,15,35,7,4,0,0,0,25,25,4,0,0,0,61,133,12,0,0,0,0,0,32,35,2,5,0,0,0,0,0,38,25,1,0,0,0,0,54,20,0,0,0,0,0,0,0,0,50,14,0,0,0,0,46,6,0,0,0,0,0,61,5,0,0,0,0,0,0,11,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,5,13,0,0,7,0,0,13,0,13,6,0,10,0,0,9,0,14,5,0,16,0,0,3,0,0,0,0,99,0,0,16,0,0,80,0,75,28,44,0,72,28,0,27,0,31
Chickfiant,Epic,3,LIFE_STONE_FRAGMENT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,2,2,1,0,3,0,0,0,0,0
Chickfiant,Epic,3,LUNAR_STONE_FRAGMENT,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,2
Chickfiant,Epic,3,Life stone,0,0,0,8,3,0,0,0,0,0,2,0,11,2,0,0,0,0,0,0,0,16,1,1,0,0,0,0,0,9,1,3,0,0,0,0,0,4,7,6,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,6,2,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,12,4,0,0,0,0,15,10,0,0,0,0,15,12,1,0,0,0,0,0,20,14,0,3,0,0,0,0,0,21,2,1,0,0,0,0,29,4,0,0,0,0,0,0,0,0,20,1,0,0,0,0,22,6,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,7,1,0,4,0,0,3,0,9,3,0,21,0,0,0,0,0,0,0,43,0,0,7,0,0,41,0,34,8,9,0,31,12,0,9,0,11
Chickfiant,Epic,3,Light of Eggendil,0,0,0,40,9,0,0,0,0,0,5,1,48,3,0,0,0,0,0,0,0,58,5,2,0,0,0,0,0,24,5,12,0,0,0,0,0,8,34,3,0,0,0,0,0,0,42,6,16,2,0,0,0,0,0,34,2,9,0,0,0,0,0,28,7,25,0,0,0,0,0,0,59,8,7,1,0,0,0,0,16,43,15,3,0,0,0,44,55,2,0,0,0,51,56,1,0,0,0,0,0,66,64,3,9,2,0,0,0,0,74,34,0,0,0,0,0,93,39,1,0,0,0,0,0,0,0,90,11,0,0,0,0,119,8,0,0,0,0,0,115,4,0,0,0,0,0,0,29,1,0,0,11,0,0,0,36,0,0,0,0,0,0,0,2,9,0,0,10,0,0,20,0,21,7,0,19,1,0,18,0,19,9,0,20,0,0,4,0,1,0,0,176,0,0,23,0,0,135,0,126,47,67,0,137,34,0,44,0,55
Chickfiant,Epic,3,Lunar stone,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,3,1,0,0,0,0,3,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,8,0,9,1,3,0,6,0,0,0,0,3
Chickfiant,Epic,3,Lunar totem,0,0,0,15,2,0,0,0,0,32,62,2,105,14,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,12,1,1,0,0,0,0,0,8,19,5,0,0,0,0,0,0,13,1,8,0,0,0,0,0,0,17,0,6,0,0,0,0,0,23,2,9,0,0,0,0,0,0,24,2,2,0,0,0,0,0,6,21,10,0,0,0,0,17,22,2,0,0,0,13,25,1,0,0,0,0,0,24,20,0,1,1,0,0,0,0,35,10,0,0,0,0,0,45,17,0,0,0,0,0,0,0,0,36,4,0,0,0,0,42,2,0,0,0,0,0,34,2,0,0,0,0,0,0,10,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,3,0,0,4,0,0,7,0,3,1,0,8,0,0,8,0,8,2,0,8,0,0,2,0,0,0,0,64,0,0,9,0,0,50,0,58,17,24,0,52,9,0,26,0,15
Chickfiant,Epic,3,Mercury's lens,0,0,0,7,1,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,7,0,5,0,0,0,0,0,3,12,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,13,1,4,0,0,0,0,0,14,1,10,0,0,0,0,0,26,74,12,16,1,0,0,0,0,6,13,4,1,0,0,0,15,11,0,0,0,0,11,11,1,0,0,0,0,0,12,17,2,1,1,0,0,0,0,23,12,0,0,0,0,0,26,6,1,0,0,0,0,0,0,0,15,2,0,0,0,0,30,2,0,0,0,0,0,21,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,7,1,0,7,0,0,5,0,4,1,0,4,0,0,3,0,0,0,0,55,0,0,10,0,0,28,0,36,19,7,0,38,9,0,10,0,4
Chickfiant,Epic,3,Neodymium medallion,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,4,6,1,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,8,0,0,0,0,0,0,18,32,6,23,0,0,0,0,0,0,14,0,3,0,0,0,0,0,2,6,3,1,0,0,0,7,10,0,0,0,0,8,7,0,0,0,0,0,0,15,4,0,0,1,0,0,0,0,13,2,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0,13,1,0,0,0,0,18,2,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,2,0,0,2,0,4,1,0,3,0,0,1,0,0,0,0,28,0,0,7,0,0,15,0,20,7,15,0,20,4,0,11,0,5
Chickfiant,Epic,3,PROPHECY_STONE_FRAGMENT,0,0,0,45,4,0,0,0,0,0,9,0,46,4,0,0,0,0,0,0,0,53,4,3,0,0,0,0,0,34,7,10,0,0,0,0,0,16,40,7,0,0,0,0,0,0,37,0,13,3,0,0,0,0,0,36,2,8,1,0,0,0,0,32,4,32,1,0,0,0,0,0,44,2,7,2,0,0,0,0,11,43,18,4,0,0,0,37,54,2,0,0,0,55,48,0,0,0,0,0,0,61,53,1,5,1,0,0,0,0,46,28,0,0,0,0,0,76,20,2,0,0,0,0,0,0,0,82,12,0,0,0,0,68,12,0,0,0,0,0,77,1,0,0,0,0,0,0,15,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,5,5,0,0,19,0,0,16,0,20,13,0,21,0,0,11,0,16,10,0,21,0,0,3,0,0,0,0,186,0,0,28,0,0,121,0,108,34,43,0,257,29,0,33,0,35
Chickfiant,Epic,3,Phoenix feather,0,0,0,15,2,0,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,19,1,2,0,0,0,0,0,14,1,6,0,0,0,0,0,9,22,2,1,0,0,0,0,0,15,2,7,1,0,0,0,0,0,18,1,5,0,0,0,0,0,20,3,10,0,0,0,0,0,0,14,5,5,0,0,0,0,0,5,26,4,1,0,0,0,12,28,1,0,0,0,22,20,0,1,0,0,0,0,15,31,2,1,0,0,0,0,0,51,70,0,0,0,0,0,27,10,1,0,0,0,0,0,0,0,34,3,0,0,0,0,41,9,0,0,0,0,0,44,2,0,0,0,0,0,0,9,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,0,4,1,0,7,0,0,12,0,9,5,0,8,0,0,1,0,0,0,0,79,0,0,11,0,0,50,0,49,16,24,0,54,15,0,16,0,12
Chickfiant,Epic,3,Prophecy stone,0,0,0,8,2,0,0,0,0,0,5,0,19,3,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,9,3,5,0,0,0,0,0,6,15,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,9,0,1,1,0,0,0,0,10,1,6,1,0,0,0,0,0,11,5,3,0,0,0,0,0,7,20,6,0,0,0,0,9,21,1,0,0,0,15,17,0,1,0,0,0,0,26,19,1,2,0,0,0,0,0,29,9,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,32,6,0,0,0,0,29,5,0,0,0,0,0,41,1,0,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,7,2,0,9,0,0,11,0,5,3,0,10,0,0,2,0,2,0,0,49,0,0,6,0,0,43,0,40,15,22,0,43,17,0,13,0,21
Chickfiant,Epic,3,Puzzle cube,34,62,2,80,12,0,0,0,0,0,3,1,22,0,0,0,0,0,0,0,0,25,3,0,1,0,0,0,0,16,0,6,0,0,0,0,0,6,12,6,1,0,0,0,0,0,17,1,8,3,0,0,0,0,0,24,0,3,1,0,0,0,0,15,4,13,0,0,0,0,0,0,13,5,3,1,0,0,0,0,8,28,5,1,0,0,0,22,20,2,0,0,0,20,25,1,0,0,0,0,0,23,25,0,6,1,0,0,0,0,33,14,0,0,0,0,0,41,11,0,0,0,0,0,0,0,0,46,6,0,0,0,0,40,5,0,0,0,0,0,36,3,0,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,9,0,0,6,0,7,1,0,5,0,0,7,0,10,3,0,13,0,0,5,0,0,0,0,66,0,0,16,0,0,60,0,58,23,27,0,57,13,0,16,0,22
Chickfiant,Epic,3,QUANTUM_STONE_FRAGMENT,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,2,2,1,0,4,3,0,3,0,1
Chickfiant,Epic,3,Quantum metronome,0,0,0,93,18,0,0,0,0,0,20,1,142,13,0,0,0,0,0,0,0,149,8,2,7,1,0,0,0,96,17,42,1,0,0,0,0,41,97,10,4,0,0,0,0,0,108,9,36,12,0,0,0,0,0,91,3,24,5,0,0,0,0,106,14,95,1,0,0,0,0,0,143,26,27,3,0,0,0,0,44,135,37,4,0,0,0,128,154,5,0,0,0,111,138,8,2,0,0,0,0,122,121,2,25,4,0,0,0,0,186,102,1,0,0,0,0,292,351,35,0,0,0,0,0,0,0,221,52,0,0,0,0,258,31,0,0,0,0,0,278,9,0,0,0,0,0,0,61,1,0,0,25,0,0,0,23,0,0,0,0,0,0,0,12,26,0,0,44,0,0,38,0,51,14,0,48,0,0,41,0,67,25,0,57,0,0,9,0,2,0,0,465,0,0,64,0,0,295,0,297,100,139,0,286,85,0,111,0,124
Chickfiant,Epic,3,Quantum stone,0,0,0,5,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,0,7,0,8,0,0,0,0,0,0,7,1,1,0,0,0,0,0,6,4,2,2,0,0,0,10,12,0,0,0,0,10,8,1,0,0,0,0,0,9,10,0,2,0,1,0,0,0,8,5,0,0,0,0,0,16,7,1,0,0,0,0,0,0,0,17,1,0,0,0,0,26,3,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,5,0,4,1,0,4,0,0,7,0,5,8,0,2,0,0,0,0,0,0,0,33,0,0,4,0,0,17,0,21,14,7,0,25,5,0,10,0,4
Chickfiant,Epic,3,SHELL_STONE_FRAGMENT,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,0,0
Chickfiant,Epic,3,SOUL_STONE_FRAGMENT,0,0,0,7,1,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,2,9,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,7,0,1,1,0,0,0,0,0,15,1,2,0,0,0,0,0,2,8,2,0,0,0,0,9,12,2,0,0,0,7,5,0,0,0,0,0,0,6,11,0,2,0,0,0,0,0,13,5,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,24,4,0,0,0,0,23,1,0,0,0,0,0,21,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,6,1,0,4,0,0,2,0,3,0,0,5,0,0,1,0,0,0,0,35,0,0,6,0,0,23,0,20,7,12,0,21,5,0,19,0,10
Chickfiant,Epic,3,Shell stone,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,11,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,2,1,0,0,0,6,7,0,0,0,0,7,6,0,0,0,0,0,0,5,6,0,1,0,0,0,0,0,13,4,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,15,2,0,0,0,0,9,2,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,3,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,2,0,0,18,0,12,8,5,0,22,1,0,4,0,13
Chickfiant,Epic,3,Ship in a bottle,0,0,0,50,10,0,0,0,0,0,18,0,53,3,0,0,0,0,0,0,0,80,5,1,5,0,0,0,0,49,8,16,0,0,0,0,0,24,60,6,1,0,0,0,0,0,46,7,19,0,0,0,0,0,0,78,1,11,3,0,0,0,0,62,7,39,2,0,0,0,0,0,80,17,9,2,0,0,0,0,15,56,29,3,0,0,0,55,67,4,0,0,0,72,85,5,5,0,0,0,0,83,94,0,10,1,0,0,0,0,96,38,1,0,0,0,0,133,32,2,0,0,0,0,0,0,0,140,18,0,0,0,0,147,15,0,0,0,0,0,404,22,0,0,0,0,0,0,29,0,0,0,17,0,0,0,12,0,0,0,0,0,0,0,2,17,0,0,29,0,0,28,0,27,11,0,26,0,0,19,0,37,11,0,37,0,0,4,0,1,0,0,277,0,0,36,0,0,195,0,167,73,76,0,179,51,0,61,0,78
Chickfiant,Epic,3,Solar titanium,0,0,0,27,1,0,0,0,0,0,3,0,23,1,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,26,5,6,0,0,0,0,0,5,22,2,0,0,0,0,0,0,22,1,7,0,0,0,0,0,0,28,0,3,0,0,0,0,0,23,2,10,0,0,0,0,0,0,32,5,3,0,0,0,0,0,9,20,6,2,0,0,0,25,30,0,0,0,0,24,28,2,1,0,0,0,0,23,30,1,7,0,0,0,0,0,38,17,0,0,0,0,0,55,11,4,0,0,0,0,0,0,0,56,8,0,0,0,0,36,3,0,0,0,0,0,57,1,0,0,0,0,0,0,6,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,1,0,0,8,0,8,2,0,12,0,0,12,0,11,6,0,13,0,0,1,0,1,0,0,94,0,0,17,0,127,353,0,68,21,32,0,60,17,0,22,0,38
Chickfiant,Epic,3,Soul stone,0,0,0,29,7,0,0,0,0,0,7,0,26,5,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,21,3,7,0,0,0,0,0,9,30,3,1,0,0,0,0,0,24,1,10,1,0,0,0,0,0,30,0,3,1,0,0,0,0,19,5,21,0,0,0,0,0,0,28,5,4,0,0,0,0,0,15,35,8,2,0,0,0,21,32,4,0,0,0,28,48,2,0,0,0,0,0,22,31,0,6,2,0,0,0,0,52,15,0,0,0,0,0,55,17,1,0,0,0,0,0,0,0,65,8,0,0,0,0,54,7,0,0,0,0,0,53,3,0,0,0,0,0,0,8,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,4,6,0,0,11,0,0,10,0,11,2,0,10,0,0,8,0,17,7,0,19,0,0,0,0,0,0,0,125,0,0,17,0,0,87,0,81,26,32,0,73,27,0,20,0,28
